Datum;Starttid;Sluttid;Längd;Kanalnamn;Titel;Titelkod;Genre1;Genre2;Genre3;Rating % A3-99 [OV];Rating % A15-64 [OV];Rating % A15-44 [OV];Rating 000s A3-99 [OV];Rating 000s A15-64 [OV];Rating 000s A15-44 [OV];Share A3-99 [OV];Share A15-64 [OV];Share A15-44 [OV]
2024-08-27;02:00;02:40;41;Kanal5;VÄGENS HJÄLTAR;;Fakta;Samhällsprogram;-;0,029 %;0,046 %;0,074 %;3;3;3;3,799 %;7,603 %;36,403 %
2024-08-27;02:00;02:24;25;SVT1;UTRIKESKORRESPONDENTEN;1129409-001A;Fiktion/Film;Biograffilm/Långfilm;Skräck/thriller;0,124 %;0,028 %;0,000 %;13;2;0;15,442 %;4,409 %;0,000 %
2024-08-27;02:00;02:09;10;SVT2;NYHETSTECKEN;1409987-170AR;Nyheter;Övriga nyheter/Väder;Övriga nyheter;0,006 %;0,009 %;0,000 %;1;1;0;0,684 %;1,388 %;0,000 %
2024-08-27;02:00;02:49;50;TV3;NCIS;10.5240/B0C3-5FE7-1EAE-9CFF-42CF-7;Fiktion/Film;TV-serier;Kriminal;0,048 %;0,034 %;0,003 %;5;2;0;6,397 %;5,798 %;1,452 %
2024-08-27;02:00;02:39;40;TV4;THE ROOKIE;200104396;Fiktion/Film;TV-serier;Kriminal;0,162 %;0,167 %;0,036 %;17;11;1;21,240 %;27,891 %;17,974 %
2024-08-27;02:40;03:34;55;TV4;EN PLATS I SOLEN;200071342;Fakta;Konsumentprogram;-;0,148 %;0,155 %;0,095 %;15;10;4;22,095 %;29,208 %;29,239 %
2024-08-27;02:41;03:40;60;Kanal5;LAW & ORDER SPECIAL VICTI;;Fiktion/Film;TV-serier;Kriminal;0,071 %;0,111 %;0,181 %;7;7;7;10,622 %;21,150 %;56,824 %
2024-08-27;02:55;03:49;55;TV3;UNFORGETTABLE;10.5240/FD14-FB1D-F736-AB24-79E0-1;Fiktion/Film;TV-serier;Kriminal;0,065 %;0,034 %;0,000 %;7;2;0;10,066 %;6,798 %;0,000 %
2024-08-27;03:36;04:31;56;TV4;EN PLATS I SOLEN;200071343;Fakta;Konsumentprogram;-;0,137 %;0,145 %;0,068 %;14;9;3;26,165 %;34,061 %;33,835 %
2024-08-27;03:41;04:38;58;Kanal5;LAW & ORDER SPECIAL VICTI;;Fiktion/Film;TV-serier;Kriminal;0,038 %;0,060 %;0,098 %;4;4;4;7,528 %;14,325 %;52,137 %
2024-08-27;03:55;04:49;55;TV3;WITHOUT A TRACE;10.5240/DEF3-286D-531A-482C-3F6F-I;Fiktion/Film;TV-serier;Kriminal;0,045 %;0,022 %;0,000 %;5;1;0;9,716 %;5,629 %;0,000 %
2024-08-27;04:15;04:43;29;SVT1;SPISA MED PRICE;1410541-005A;Fakta;Konsumentprogram;-;0,039 %;0,000 %;0,000 %;4;0;0;8,245 %;0,000 %;0,000 %
2024-08-27;04:32;04:53;22;TV4;UNGA FÖRÄLDRAR;200033051;Underhållning, Lek;Lek, Tävling;Dokusåpa/Reality;0,095 %;0,124 %;0,004 %;10;8;0;21,313 %;35,649 %;5,066 %
2024-08-27;04:39;05:11;33;Kanal5;SOMMAREN MED SLÄKTEN;;Fiktion/Film;TV-serier;Komedi;0,032 %;0,013 %;0,021 %;3;1;1;6,797 %;3,824 %;22,099 %
2024-08-27;04:45;05:13;29;SVT1;SVERIGE IDAG;1409990-006AR;Nyheter;Övriga nyheter/Väder;Övriga nyheter;0,099 %;0,023 %;0,000 %;10;1;0;20,428 %;6,368 %;0,000 %
2024-08-27;04:55;05:22;28;TV3;NANNY;10.5240/EE64-8B35-E2F1-A6F8-59E2-R;Fiktion/Film;TV-serier;Komedi;0,057 %;0,030 %;0,000 %;6;2;0;10,325 %;7,219 %;0,000 %
